_id,popularity,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence,_class,spotUrl,ytUrl._id,ytUrl.LinkName,ytUrl.type,ytUrl.url,dlink._id,dlink.LinkName,dlink.type,dlink.url,lyric._id,lyric.LinkName,lyric.type,lyric.url,artInfo._id,artInfo.LinkName,artInfo.type,artInfo.url,albInfo._id,albInfo.LinkName,albInfo.type,albInfo.url
Money,77,233639,0.2160000056028366,0.6029999852180481,0.9179999828338623,0.1459999978542328,4,0.2840000092983246,-6.6519999504089355,0,0.0640999972820282,102.4729995727539,4,0.4519999921321869,dev.eshanM.Musik.Song,64e074ffaea7d56b2f15376d,64e074ffaea7d56b2f15376e,Youtube,yt,null,64e074ffaea7d56b2f15376f,Download : 9x,dlink,null,64e074ffaea7d56b2f153770,Lyrics : Genius,lyric,null,64e074ffaea7d56b2f153771,The Drums,artInfo,https://open.spotify.com/artist/0p5axeJsbtTCXBrRVoKjwu,64e074ffaea7d56b2f153772,Portamento,albInfo,https://open.spotify.com/album/4I7uuSfSkHKJjrr1vpu4mi
Blinding Lights,92,200040,0.0014600000577047467,0.5139999985694885,0.7300000190734863,0.00009539999882690609,1,0.08969999849796295,-5.934000015258789,1,0.05979999899864197,171.0050048828125,4,0.33399999141693115,dev.eshanM.Musik.Song,64e09466aea7d56b2f1543c7,64e09467aea7d56b2f1543c8,Youtube,yt,null,64e09467aea7d56b2f1543c9,Download : 9x,dlink,null,64e09467aea7d56b2f1543ca,Lyrics : Genius,lyric,null,64e09467aea7d56b2f1543cb,The Weeknd,artInfo,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,64e09467aea7d56b2f1543cc,After Hours,albInfo,https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj
Shape of You,89,233713,0.5809999704360962,0.824999988079071,0.6520000100135803,0,1,0.09309999644756317,-3.183000087738037,0,0.08020000159740448,95.97699737548828,4,0.9309999942779541,dev.eshanM.Musik.Song,64e092ebaea7d56b2f154169,64e092ebaea7d56b2f15416a,Youtube,yt,null,64e092ebaea7d56b2f15416b,Download : 9x,dlink,null,64e092ebaea7d56b2f15416c,Lyrics : Genius,lyric,null,64e092ecaea7d56b2f15416d,Ed Sheeran,artInfo,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,64e092ecaea7d56b2f15416e,÷ (Deluxe),albInfo,https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu
Someone You Loved,90,182161,0.7509999871253967,0.5009999871253967,0.4050000011920929,0,1,0.10499999672174454,-5.678999900817871,1,0.03189999982714653,109.89099884033203,4,0.44600000977516174,dev.eshanM.Musik.Song,64e09472aea7d56b2f1543eb,64e09472aea7d56b2f1543ec,Youtube,yt,null,64e09472aea7d56b2f1543ed,Download : 9x,dlink,null,64e09472aea7d56b2f1543ee,Lyrics : Genius,lyric,null,64e09472aea7d56b2f1543ef,Lewis Capaldi,artInfo,https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB,64e09473aea7d56b2f1543f0,Divinely Uninspired To A Hellish Extent,albInfo,https://open.spotify.com/album/5658aM19fA3JVwTK6eQX70
Dance Monkey,79,209438,0.6919999718666077,0.8240000009536743,0.5879999995231628,0.00010399999882793054,6,0.14900000393390656,-6.400000095367432,0,0.09239999949932098,98.0270004272461,4,0.5130000114440918,dev.eshanM.Musik.Song,64e09304aea7d56b2f1541ab,64e09304aea7d56b2f1541ac,Youtube,yt,null,64e09305aea7d56b2f1541ad,Download : 9x,dlink,null,64e09306aea7d56b2f1541ae,Lyrics : Genius,lyric,null,64e09306aea7d56b2f1541af,Tones And I,artInfo,https://open.spotify.com/artist/2NjfBq1NflQcKSeiDooVjY,64e09306aea7d56b2f1541b0,Dance Monkey (Stripped Back) / Dance Monkey,albInfo,https://open.spotify.com/album/0UywfDKYlyiu1b38DRrzYD
Sunflower - Spider-Man: Into the Spider-Verse,89,158040,0.5559999942779541,0.7599999904632568,0.4790000021457672,0,2,0.07029999792575836,-5.573999881744385,1,0.04659999907016754,89.91100311279297,4,0.9129999876022339,dev.eshanM.Musik.Song,64e09480aea7d56b2f154415,64e09480aea7d56b2f154416,Youtube,yt,null,64e09480aea7d56b2f154417,Download : 9x,dlink,null,64e09480aea7d56b2f154418,Lyrics : Genius,lyric,null,64e09480aea7d56b2f154419,Post Malone,artInfo,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,64e09480aea7d56b2f15441a,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),albInfo,https://open.spotify.com/album/35s58BRTGAEWztPo9WqCIs
rockstar (feat. 21 Savage),86,218147,0.12399999797344208,0.5849999785423279,0.5199999809265137,0.0000701000026310794,5,0.13099999725818634,-6.136000156402588,0,0.07119999825954437,159.80099487304688,4,0.1289999932050705,dev.eshanM.Musik.Song,64e076a8aea7d56b2f1539e9,64e076a8aea7d56b2f1539ea,Youtube,yt,null,64e076a8aea7d56b2f1539eb,Download : 9x,dlink,null,64e076a9aea7d56b2f1539ec,Lyrics : Genius,lyric,null,64e076a9aea7d56b2f1539ed,Post Malone,artInfo,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,64e076a9aea7d56b2f1539ee,beerbongs & bentleys,albInfo,https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR
One Dance,25,173987,0.007840000092983246,0.7910000085830688,0.6190000176429749,0.004230000078678131,1,0.35100001096725464,-5.886000156402588,1,0.053199999034404755,103.98899841308594,4,0.3709999918937683,dev.eshanM.Musik.Song,64e092efaea7d56b2f154175,64e092efaea7d56b2f154176,Youtube,yt,null,64e092f0aea7d56b2f154177,Download : 9x,dlink,null,64e092f0aea7d56b2f154178,Lyrics : Genius,lyric,null,64e092f0aea7d56b2f154179,Drake,artInfo,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,64e092f1aea7d56b2f15417a,Views,albInfo,https://open.spotify.com/album/3hARKC8cinq3mZLLAEaBh9
STAY (with Justin Bieber),86,141806,0.03830000013113022,0.5910000205039978,0.7639999985694885,0,1,0.10300000011920929,-5.484000205993652,1,0.04830000177025795,169.92799377441406,4,0.4779999852180481,dev.eshanM.Musik.Song,64e0946caea7d56b2f1543d9,64e0946caea7d56b2f1543da,Youtube,yt,null,64e0946caea7d56b2f1543db,Download : 9x,dlink,null,64e0946daea7d56b2f1543dc,Lyrics : Genius,lyric,null,64e0946daea7d56b2f1543dd,The Kid LAROI,artInfo,https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J,64e0946daea7d56b2f1543de,STAY (with Justin Bieber),albInfo,https://open.spotify.com/album/4QLAtpLNUsHEYrcHXmMIZZ
Believer,90,204347,0.062199998646974564,0.7760000228881836,0.7799999713897705,0,10,0.08100000023841858,-4.374000072479248,0,0.12800000607967377,124.9489974975586,4,0.6660000085830688,dev.eshanM.Musik.Song,64e0947baea7d56b2f154409,64e0947caea7d56b2f15440a,Youtube,yt,null,64e0947caea7d56b2f15440b,Download : 9x,dlink,null,64e0947caea7d56b2f15440c,Lyrics : Genius,lyric,null,64e0947caea7d56b2f15440d,Imagine Dragons,artInfo,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,64e0947caea7d56b2f15440e,Evolve,albInfo,https://open.spotify.com/album/33pt9HBdGlAbRGBHQgsZsU
